OldPNNumber|PNNumber|LoanType|LoanProductType|EffectivityDate|Status|MaturityDate|ActualClosedDate|LoanAmount|PawnedItem|PawnedItemType|AppraisalRate|RedemptionDate|UpdatedDate|CustomerNumber
|11EE80EEA082982FAFD838F3AB1CAFC7|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||3000|"ONE PC(S) YG LINK NECKLACE W/ W/ CROSS PENDANT"|Jewelry|7500||"12/11/2023 8:01:36 AM"|6564947
|11EE80EEA69C2FC9896F9C2DCDF1DE89|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||7200|"ONE PC(S) YG FOXTAIL NECKLACE W/ HEART PENDANT"|Jewelry|7200||"12/11/2023 8:01:38 AM"|2684109
|11EE80EEAE8C5894949800090FAA0001|Personal Loan|5|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||14100|"ONE PC(S) YG MEN'S RING"|Jewelry|14100||"12/11/2023 8:02:09 AM"|14340373
|11EE80EEC01D7339B9B300090FAA0001|Personal Loan|5|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||3900|"ONE PC(S) YG MEN'S RING"|Jewelry|3900||"12/11/2023 8:02:32 AM"|14340373
|11EE80EEC65DC87CBC089C2DCDF39BA3|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||4000|"ONE PC(S) YG ROPE NECKLACE"|Jewelry|7200||"12/11/2023 8:02:31 AM"|21438572
|11EE80EEC9A186EBABC6F44D306E5D65|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||3450|"ONE PC(S) YG ROPE CHAIN NECKLACE"|Jewelry|3450||"12/11/2023 8:02:51 AM"|30291694
|11EE80EECD6F0B51914B00090FAA0001|Personal Loan|5|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||3900|ONE PAIR YG STUD EARRINGS|Jewelry|3900||"12/11/2023 8:02:57 AM"|14340373
|11EE80EED2AF080A8A486C3C8C07A69D|Personal Loan|5|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||4700|"ONE PC(S) YG LADIES' RING"|Jewelry|4950||"12/11/2023 8:02:52 AM"|1207950
|11EE80EED9EAEB02822B00090FAA0001|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||4400|"ONE PC(S) YG ADJUSTABLE LADIES' RING W/ DEFORMITY"|Jewelry|4450||"12/11/2023 8:03:21 AM"|991881
|11EE80EF02B95D32B29D0C9D9288C3D3|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||6200|"ONE PC(S) YG WITH PENDANT (DEF) NECKLACE~ONE PC(S) YG DEF LADIES' RING"|Jewelry|8100||"12/11/2023 8:04:13 AM"|
|11EE80EF0635AFB9B9EF0C9D92C612C4|Personal Loan|5|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||2400|"ONE PC(S) YG WITH INFINITY DESIGN LADIES' RING"|Jewelry|2400||"12/11/2023 8:04:18 AM"|20639310
|11EE80EF1C3BC40484041C1B0D97FCD3|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||6000|"ONE PC(S) YG FLAT BRACELET"|Jewelry|20550||"12/11/2023 8:05:03 AM"|7691851
|11EE80EF1F8CAD9F9FED00090FAA0001|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||9500|"ONE PC(S) YG LACE BRACELET W/ 5 CHARMS"|Jewelry|9500||"12/11/2023 8:05:55 AM"|8133530
|11EE80EF219DBA1595FAE0D55E0559AF|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||2950|"ONE PC(S) YG BAND RING"|Jewelry|2950||"12/11/2023 8:05:09 AM"|2576345
|11EE80EF3F2893C585D3408D5C3CAE39|Personal Loan|5|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||2500|"ONE PC(S) YG W/TESTMARK AND SCRATCH DEFORMED BAND RING"|Jewelry|6150||"12/11/2023 8:09:50 AM"|17353996
|11EE80EF40B5A78383E79C2DCDF1E6A7|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||900|ONE PAIR YG HOOP EARRINGS|Jewelry|900||"12/11/2023 8:06:12 AM"|14460462
|11EE80EF45B72433B3640A0027000002|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||3000|"ONE PC(S) YG PUFFED HEART DESIGN PENDANT"|Jewelry|3000||"12/11/2023 8:06:05 AM"|536005
|11EE80EF59961197975100090FAA0001|Personal Loan|5|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||3000|ONE PAIR YG STUD EARRINGS|Jewelry|3000||"12/11/2023 8:08:44 AM"|29714272
|11EE80EF5EFE5429A9946C3C8C0726E7|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||8400|"ONE PAIR YG STUD EARRINGS W/ (LOCK 10K) PEARL"|Jewelry|9800||"12/11/2023 8:06:47 AM"|29689019
|11EE80EF60B556539396DC1BA1AFE3FD|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||13000|"ONE PC(S) YG LADIES' RING"|Jewelry|12900||"12/11/2023 8:07:39 AM"|5998503
|11EE80EF62C7A7BDBDE7E0D55E5D4E52|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||4900|"ONE PC(S) YG BAND RING"|Jewelry|4900||"12/11/2023 8:07:46 AM"|29373637
|11EE80EF6331F649893600090FAA0001|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||6000|"ONE PC(S) YG BRACELET"|Jewelry|18000||"12/11/2023 8:07:25 AM"|14112883
|11EE80EF6388A479B9E4002B676FAA43|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||4200|"ONE PC(S) YG WITH ENGRAVED JESSICA YU 2021 RING"|Jewelry|4200||"12/11/2023 8:08:13 AM"|19746559
|11EE80EF74D5764D8DB6305A3A529D66|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||3300|ONE PAIR YG STUD EARRINGS W/ HEART DESIGN|Jewelry|3300||"12/11/2023 8:07:24 AM"|
|11EE80EF7508DB30B01B0A002700000C|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||6000|"ONE PC(S) YG FIGARO-MARINER NECKLACE W/ RELIGIOUS PENDANT"|Jewelry|14100||"12/11/2023 8:07:32 AM"|8964387
|11EE80EF89AE6A5191AAFCAA14AF23DC|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||2200|"ONE PC(S) YG CENTERPIECE NECKLACE"|Jewelry|21800||"12/11/2023 8:08:48 AM"|
|11EE80EF8C1CF06FAF3000090FAA0001|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||14100|"ONE PC(S) YG BRACELET"|Jewelry|14100||"12/11/2023 8:08:36 AM"|2153938
|11EE80EF8D953F67A77F00090FAA0001|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||5200|"ONE PC(S) YG BAND RING W/ DEFECTIVE"|Jewelry|5150||"12/11/2023 8:08:51 AM"|8133530
|11EE80EF9373962DADD6DC1BA1AFE3FD|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||35600|"ONE PC(S) YG BRACELET W/ CHARMS"|Jewelry|35650||"12/11/2023 8:09:14 AM"|5998503
|11EE80EF9428F2B6B6320C9D9215C4F5|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||4000|ONE PAIR YG DANGLING EARRINGS|Jewelry|4000||"12/11/2023 8:08:16 AM"|8771880
|11EE80EF9469B967A7F9002B67748AAB|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||7200|"ONE PC(S) YG ROPE NECKLACE"|Jewelry|7200||"12/11/2023 8:08:17 AM"|31078105
|11EE80EF9764F3F3B33338D54711ACBD|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||3600|ONE PAIR YG CREOLE EARRINGS|Jewelry|3600||"12/11/2023 8:08:37 AM"|21680935
|11EE80EF99A9A10888E1002B67792436|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||2000|"ONE PC(S) YG LADIES' RING"|Jewelry|4650||"12/11/2023 8:08:46 AM"|
|11EE80EF9A1ECC87870C00090FAA0001|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||2000|ONE PAIR YG DANGLING EARRINGS|Jewelry|2700||"12/11/2023 8:08:27 AM"|11649266
|11EE80EF9CAFDB4A8A1B00090FAA0001|Personal Loan|5|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||4600|ONE PAIR BCG CREOLLA EARRINGS|Jewelry|4650||"12/11/2023 8:08:31 AM"|
|11EE80EFA5F878A6A6B800090FAA0001|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||2100|ONE PAIR YG STUD EARRINGS|Jewelry|2100||"12/11/2023 8:08:50 AM"|29291892
|11EE80EFA73D6DBFBFAD9C2DCDD8BE5C|Personal Loan|5|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||6200|"ONE PC(S) YG NECKLACE"|Jewelry|8400||"12/11/2023 8:09:47 AM"|23571331
|11EE80EFA787894787C900090FAA0001|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||17100|"ONE PC(S) YG ROPE NECKLACE"|Jewelry|18850||"12/11/2023 8:08:49 AM"|
|11EE80EFA7BD0DD1914D88A4C2B5FA53|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||2100|"ONE PC(S) YG NECKLACE W/ HEART PENDANT"|Jewelry|2100||"12/11/2023 8:10:27 AM"|909473
|11EE80EFAEEC1081815088A4C29DB1B2|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||2000|"ONE PC(S) YG NECKLACE W/ DEFORMITY"|Jewelry|2400||"12/11/2023 8:09:02 AM"|19911706
|11EE80EFB000290F8F699C2DCD98BCA1|Personal Loan|5|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||6600|"ONE PC(S) YG LINK NECKLACE W/ CRUCIFIX PENDANT"|Jewelry|6600||"12/11/2023 8:09:45 AM"|14746216
|11EE80EFB34524539364002B676D4877|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||5000|ONE PAIR YG CREOLLA EARRINGS|Jewelry|7950||"12/11/2023 8:10:19 AM"|9021076
|11EE80EFB7AD8ADC9CCA6C3C8C06D244|Personal Loan|5|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||3300|ONE PAIR YG CREOLE TARNISH EARRINGS|Jewelry|3300||"12/11/2023 8:10:09 AM"|19997076
|11EE80EFB83CDE3BBB1EF44D306E5D93|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||3000|"ONE PC(S) YG RING"|Jewelry|3000||"12/11/2023 8:09:26 AM"|4688016
|11EE80EFB91CE480802488A4C2B621F2|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||8300|"ONE PC(S) YG LINK NECKLACE"|Jewelry|8350||"12/11/2023 8:10:05 AM"|10610017
|11EE80EFB949F70787370C9D9287B635|Personal Loan|5|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||8400|"ONE PC(S) YG W/HEART PENDANT NECKLACE"|Jewelry|8400||"12/11/2023 8:10:06 AM"|17859939
|11EE80EFBD6810D292509C2DCDF39C5E|Personal Loan|5|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||3200|"ONE PC(S) YG FOXTAIL NECKLACE W/ SULDA AND LOCK W/HOLE"|Jewelry|3900||"12/11/2023 8:09:26 AM"|9407281
|11EE80EFBE922C2BAB6C00090FAA0001|Personal Loan|5|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||6300|"ONE PC(S) BCG BOX ANKLET W/ CHARMS"|Jewelry|6300||"12/11/2023 8:09:28 AM"|8143859
|11EE80EFBFD312ABAB521C697AA9C15D|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||2700|"ONE PC(S) YG CENTERPIECE NECKLACE W/ W/ STONES"|Jewelry|5450||"12/11/2023 8:10:02 AM"|3544266
|11EE80EFCA5A7FCD8DBF00090FAA0001|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||15000|"ONE PC(S) YG BRACELET"|Jewelry|24750||"12/11/2023 8:09:48 AM"|9412810
|11EE80EFCD44AF5C9CEF00090FAA0001|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||3600|ONE PAIR YG STUD EARRINGS W/ HEART DESIGN|Jewelry|3600||"12/11/2023 8:09:55 AM"|252419
|11EE80EFD1632B7FBF6B00090FAA0001|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||8700|"ONE PC(S) YG LINK BRACELET"|Jewelry|8700||"12/11/2023 8:10:20 AM"|18193594
|11EE80EFD4970B6EAE4B00090FAA0001|Personal Loan|5|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||10800|"ONE PC(S) YG MEN'S RING W/ HORSESHOE DESIGN"|Jewelry|10800||"12/11/2023 8:10:25 AM"|30225189
|11EE80EFD548C9D797090492264918D6|Personal Loan|5|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||18800|"ONE PC(S) YG BRACELET W/ 6 CHARMS"|Jewelry|18850||"12/11/2023 8:10:06 AM"|19410663
|11EE80EFD7ABC6A1A1061C697AA7347C|Personal Loan|5|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||2700|"ONE PC(S) YG LINK NECKLACE W/ DEFORMITTIES"|Jewelry|2950||"12/11/2023 8:10:10 AM"|9486446
|11EE80EFD852117DBD516C4B90E92E60|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||4100|"ONE PC(S) YG LADIES' RING W/ STONES"|Jewelry|4200||"12/11/2023 8:10:25 AM"|1415649
|11EE80EFD8F22854946800090FAA0001|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||6600|"ONE PC(S) YG ROPE NECKLACE"|Jewelry|6600||"12/11/2023 8:11:01 AM"|4404215
|11EE80EFD968428080820C9D9276BEF1|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||2000|"ONE PC(S) YG BRACELET"|Jewelry|2100||"12/11/2023 8:11:36 AM"|9516965
|11EE80EFDE1108888848E0D55E55B737|Personal Loan|5|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||100400|"ONE PC(S) YG NECKLACE W/ TESTMARK"|Jewelry|100450||"12/11/2023 8:10:20 AM"|31310304
|11EE80EFE303EF4B8B2F1C697AA9C15D|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||2000|"ONE PC(S) YG BRACELET W/ CHARMS"|Jewelry|2000||"12/11/2023 8:10:40 AM"|3544266
|11EE80EFE3BC2120A06188A4C2B5FEE2|Personal Loan|5|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||2400|"ONE PC(S) YG DOLPHIN PENDANT"|Jewelry|2400||"12/11/2023 8:14:12 AM"|4685268
|11EE80EFEFFD3574B475B42E99417B1C|Personal Loan|5|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||3000|"ONE PC(S) YG BRACELET W/ 1 RS STONE(S) & W/CHARMS"|Jewelry|2950||"12/11/2023 8:11:49 AM"|
|11EE80EFF07CF9C686390A0027000007|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||2400|ONE PAIR YG CREOLE EARRINGS|Jewelry|2400||"12/11/2023 8:10:52 AM"|31310319
|11EE80EFF35AF83ABA389C2DCDF39C5E|Personal Loan|5|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||1500|"ONE PC(S) YG CROSS PENDANT"|Jewelry|1500||"12/11/2023 8:12:03 AM"|9407281
|11EE80EFF4628E2AAACE88AEDD011801|Personal Loan|5|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||2100|"ONE PC(S) YG (SLIGHTLY DEFORM) LADIES' RING"|Jewelry|2350||"12/11/2023 8:12:18 AM"|14121373
|11EE80EFF58B18C5855800090FAA0001|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||4500|ONE PAIR YG CREOLE EARRINGS|Jewelry|4500||"12/11/2023 8:11:03 AM"|302604
|11EE80EFF5E5E7E0A0270A002700000B|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||5000|"ONE PC(S) YG LINK BRACELET"|Jewelry|5700||"12/11/2023 8:12:14 AM"|9397980
|11EE80EFFC10C0A8A80000090FAA0001|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||3000|"ONE PC(S) YG NECKLACE"|Jewelry|9300||"12/11/2023 8:11:11 AM"|7979397
|11EE80EFFE995AB3B39A88A4C26086B0|Personal Loan|5|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||2950|"ONE PC(S) YG LADIES' RING W/ DESIGN & DEFORMED"|Jewelry|2950||"12/11/2023 8:11:54 AM"|26266856
|11EE80F002F414BFBF54E88088118EAE|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||8400|"ONE PC(S) YG BRACELET"|Jewelry|8400||"12/11/2023 8:11:22 AM"|29739433
|11EE80F0030307D6964700090FAA0001|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||2700|ONE PAIR YG STUD EARRINGS|Jewelry|2700||"12/11/2023 8:11:22 AM"|8181797
|11EE80F004FA180282581C697AA809EE|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||1500|"ONE PC(S) YG BRACELET W/ DEFORMITY"|Jewelry|1950||"12/11/2023 8:11:55 AM"|
|11EE80F005A5241E9E6488A4C2B62C2C|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||4600|"ONE PC(S) YG DEF BAND RING"|Jewelry|4600||"12/11/2023 8:12:29 AM"|
|11EE80F0074249529289E88088118EAE|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||6300|"ONE PC(S) YG NECKLACE"|Jewelry|6300||"12/11/2023 8:11:45 AM"|29739433
|11EE80F00C68F5F5B53500090FAA0001|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||5700|"ONE PC(S) YG PENDANT W/ WORD & PALM DESIGN"|Jewelry|5950||"12/11/2023 8:11:39 AM"|9480347
|11EE80F00D56A05797E01C697AA817C9|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||2500|"ONE PC(S) YG LADIES' RING"|Jewelry|4350||"12/11/2023 8:11:41 AM"|4233488
|11EE80F00D89C2FABA020C9D9287C055|Personal Loan|5|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||3000|"ONE PC(S) YG NECKLACE W/ RELIGIOUS PENDANT"|Jewelry|2950||"12/11/2023 8:12:18 AM"|15421434
|11EE80F00EA46D1393AD00090FAA0001|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||1100|"ONE PC(S) YG NECKLACE~ONE PC(S) YG RELIGIOUS PENDANT"|Jewelry|3300||"12/11/2023 8:13:09 AM"|9235294
|11EE80F01149CB88880B00090FAA0001|Personal Loan|5|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||7300|"ONE PC(S) YG NECKLACE"|Jewelry|7500||"12/11/2023 8:11:58 AM"|29960467
|11EE80F011AD7A65A5BA1C697AA817C9|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||1500|"ONE PC(S) YG LADIES' RING W/ W/ DEF"|Jewelry|3000||"12/11/2023 8:12:04 AM"|4233488
|11EE80F016888F1090CF00090FAA0001|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||4500|"ONE PC(S) YG ""IMAGE PENDANT~ONE PC(S) YG NECKLACE"|Jewelry|4500||"12/11/2023 8:11:57 AM"|
|11EE80F019545BCF8F9B9C2DCDF39A32|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||6600|"ONE PC(S) YG LADIES' RING W/ DEFORMED"|Jewelry|6650||"12/11/2023 8:12:00 AM"|5872983
|11EE80F01AF593BEBED3E0D55E0559AF|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||3600|"ONE PC(S) YG BAND RING"|Jewelry|3600||"12/11/2023 8:12:19 AM"|
|11EE80F01D1F5104849138F3AB1CA276|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||3200|"ONE PC(S) YG NECKLACE W/ HEART PENDANT"|Jewelry|2850||"12/11/2023 8:12:21 AM"|7304715
|11EE80F01F9AA2E1A1E200090FAA0001|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||7800|"ONE PC(S) YG NECKLACE"|Jewelry|7800||"12/11/2023 8:12:37 AM"|13327018
|11EE80F02366C9BEBE090A002700000D|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||2000|"ONE PC(S) YG LADIES' RING W/ DEFORMITY"|Jewelry|1950||"12/11/2023 8:12:40 AM"|21649417
|11EE80F02551C763A3071C697AA810A1|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||5100|"ONE PC(S) YG PENDANT"|Jewelry|5100||"12/11/2023 8:12:20 AM"|9078739
|11EE80F02A4BCBFFBF0B0A0027000002|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||3500|"ONE PC(S) YG LADIES' RING W/ BUTTERFLY DESIGN"|Jewelry|3600||"12/11/2023 8:12:29 AM"|31082115
|11EE80F02C86FFACAC3F0492264BDEB1|Personal Loan|5|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||5400|"ONE PC(S) YG LINK NECKLACE W/ SINGLE CHAIN"|Jewelry|5400||"12/11/2023 8:12:32 AM"|
|11EE80F0335802BDBD4200090FAA0001|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||1600|"ONE PC(S) YG HEART PENDANT W/ INITIAL ""R"" DESIGN"|Jewelry|1650||"12/11/2023 8:12:54 AM"|4404215
|11EE80F03552FC3CBC3C00090FAA0001|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||10200|"ONE PC(S) YG LINK BRACELET"|Jewelry|10200||"12/11/2023 8:12:47 AM"|
|11EE80F03769209797600A002700000A|Personal Loan|5|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||1400|"ONE PC(S) YG PUFFED HEART PENDANT W/ DEFORMITY"|Jewelry|1450||"12/11/2023 8:12:51 AM"|9953643
|11EE80F03A80F413933400090FAA0001|Personal Loan|5|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||5700|"ONE PC(S) YG LADIES' RING"|Jewelry|5700||"12/11/2023 8:13:17 AM"|8584351
|11EE80F03B66ED61A12D408D5CF70537|Personal Loan|5|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||15000|"ONE PC(S) YG LINK NECKLACE"|Jewelry|15900||"12/11/2023 8:12:57 AM"|13865315
